task_idx,scenario,backend,backend_kind,model,model_kind,params_millions,params_millions_config,prompt,prompt_chars,gen_tokens_target,call_idx,sample_idx,is_warmup,warmup_idx,rep,mode,status,error,started_at_unix,prompt_tokens,prefill_ms,prefill_cuda_event_ms,kv_decode_ms,kv_decode_ms_equiv,kv_decode_ms_per_token,kv_decode_cuda_event_ms,gen_tokens,gen_tokens_equiv,ollama_wall_ms,ollama_total_duration_ms,ollama_load_ms,ollama_done_reason,params_millions_measured,latency_ms,cuda_event_ms,tokens_total,tokens_per_s,gpu_peak_mb,hf_load_ms
0,medium,ollama,ollama,qwen2.5:7b,ollama,7600.0,7600.0,Explain how backpressure works in an inference service and when to enable queueing.,83,128,0,0,True,0,,prefill,ok,,1766547110.0134625,46,24.138,,1465.2902,1465.2902,11.4475796875,,0,128,8666.22690000031,8661.6337,7041.157,length,7600.0,24.138,,46,1905.708840831883,,
0,medium,ollama,ollama,qwen2.5:7b,ollama,7600.0,7600.0,Explain how backpressure works in an inference service and when to enable queueing.,83,128,0,1,True,0,,kv_decode,ok,,1766547110.0134625,46,24.138,,1465.2902,1465.2902,11.4475796875,,128,128,8666.22690000031,8661.6337,7041.157,length,7600.0,1465.2902,,128,87.35470966775047,,
0,medium,ollama,ollama,qwen2.5:7b,ollama,7600.0,7600.0,Explain how backpressure works in an inference service and when to enable queueing.,83,128,0,2,True,0,,e2e_kv,ok,,1766547110.0134625,46,24.138,,1465.2902,1465.2902,11.4475796875,,128,128,8666.22690000031,8661.6337,7041.157,length,7600.0,1489.4281999999998,,174,116.82335543264188,,
0,medium,ollama,ollama,qwen2.5:7b,ollama,7600.0,7600.0,Explain how backpressure works in an inference service and when to enable queueing.,83,128,1,3,False,,0,prefill,ok,,1766547118.6798382,46,11.6939,,1441.99,1441.99,11.265546875,,0,128,1733.399400000053,1712.8496,132.8751,length,7600.0,11.6939,,46,3933.6748219157,,
0,medium,ollama,ollama,qwen2.5:7b,ollama,7600.0,7600.0,Explain how backpressure works in an inference service and when to enable queueing.,83,128,1,4,False,,0,kv_decode,ok,,1766547118.6798382,46,11.6939,,1441.99,1441.99,11.265546875,,128,128,1733.399400000053,1712.8496,132.8751,length,7600.0,1441.99,,128,88.76621890581765,,
0,medium,ollama,ollama,qwen2.5:7b,ollama,7600.0,7600.0,Explain how backpressure works in an inference service and when to enable queueing.,83,128,1,5,False,,0,e2e_kv,ok,,1766547118.6798382,46,11.6939,,1441.99,1441.99,11.265546875,,128,128,1733.399400000053,1712.8496,132.8751,length,7600.0,1453.6839,,174,119.69589812475739,,
0,medium,ollama,ollama,qwen2.5:7b,ollama,7600.0,7600.0,Explain how backpressure works in an inference service and when to enable queueing.,83,128,2,6,False,,1,prefill,ok,,1766547120.4133751,46,11.6463,,1450.6971,1450.6971,11.33357109375,,0,128,1749.003299999913,1726.8833,140.5127,length,7600.0,11.6463,,46,3949.7522818405846,,
0,medium,ollama,ollama,qwen2.5:7b,ollama,7600.0,7600.0,Explain how backpressure works in an inference service and when to enable queueing.,83,128,2,7,False,,1,kv_decode,ok,,1766547120.4133751,46,11.6463,,1450.6971,1450.6971,11.33357109375,,128,128,1749.003299999913,1726.8833,140.5127,length,7600.0,1450.6971,,128,88.23344308057139,,
0,medium,ollama,ollama,qwen2.5:7b,ollama,7600.0,7600.0,Explain how backpressure works in an inference service and when to enable queueing.,83,128,2,8,False,,1,e2e_kv,ok,,1766547120.4133751,46,11.6463,,1450.6971,1450.6971,11.33357109375,,128,128,1749.003299999913,1726.8833,140.5127,length,7600.0,1462.3434000000002,,174,118.9870997468857,,
0,medium,ollama,ollama,qwen2.5:7b,ollama,7600.0,7600.0,Explain how backpressure works in an inference service and when to enable queueing.,83,128,3,9,False,,2,prefill,ok,,1766547122.1628199,46,12.3395,,1459.4306,1459.4306,11.4018015625,,0,128,1746.1826000003384,1722.356,134.7166,length,7600.0,12.3395,,46,3727.865796831314,,
