backend,backend_kind,batch_size,model,model_kind,params_millions_effective,mode,n_scenarios,latency_geomean_ms,latency_median_of_medians_ms,tokens_per_s_geomean,tokens_per_s_compute_geomean,gpu_peak_mb_median,ollama_load_ms_median,params_millions_config_median,params_millions_measured_median
hf_gpu_fp16,hf,1,models/tiny-gpt2,hf,0.102714,e2e_kv,1,863.3141000027535,863.3141000027535,612.7549636897076,612.7549636897076,482.9345703125,,0.103,0.102714
hf_gpu_fp16,hf,1,models/gpt2-5m,hf,5.03672,e2e_kv,1,3089.431199998219,3089.4311999982165,171.22893042586782,171.22893042586782,34.4453125,,5.037,5.03672
hf_gpu_fp16,hf,1,models/gpt2-25m,hf,25.016064,e2e_kv,1,885.1482999998549,885.1482999998552,597.6399660939151,597.6399660939151,287.38818359375,,25.016,25.016064
hf_gpu_fp16,hf,1,models/gpt2-45m,hf,45.1712,e2e_kv,1,1610.263300000952,1610.263300000952,328.5177026637119,328.5177026637116,132.49267578125,,45.171,45.1712
hf_gpu_fp16,hf,1,models/gpt2-50m,hf,51.475968,e2e_kv,1,2181.537599999501,2181.5375999995013,242.4895174853374,242.4895174853374,241.66650390625,,51.476,51.475968
hf_gpu_fp16,hf,1,models/gpt2-75m,hf,74.824704,e2e_kv,1,1361.6224000015789,1361.622400001579,388.50712209154784,388.50712209154784,641.03662109375,,74.825,74.824704
hf_gpu_fp16,hf,1,models/gpt2-100m,hf,96.08832,e2e_kv,1,2121.917599999505,2121.917599999506,249.30280044810564,249.30280044810564,493.1259765625,,96.088,96.08832
hf_gpu_fp16,hf,1,models/tiny-gpt2,hf,0.102714,kv_decode,1,860.8312000014847,860.8312000014848,594.7739812394308,594.7739812394308,482.9345703125,,0.103,0.102714
hf_gpu_fp16,hf,1,models/gpt2-5m,hf,5.03672,kv_decode,1,3082.447399998271,3082.447399998273,166.10178003371183,166.10178003371183,34.4453125,,5.037,5.03672
hf_gpu_fp16,hf,1,models/gpt2-25m,hf,25.016064,kv_decode,1,882.8714999999648,882.8714999999647,579.9258442480256,579.9258442480256,287.38818359375,,25.016,25.016064
hf_gpu_fp16,hf,1,models/gpt2-45m,hf,45.1712,kv_decode,1,1606.7640000001115,1606.764000000112,318.65289488684357,318.65289488684357,132.49267578125,,45.171,45.1712
hf_gpu_fp16,hf,1,models/gpt2-50m,hf,51.475968,kv_decode,1,2176.7008999995596,2176.70089999956,235.21835269149904,235.21835269149904,241.66650390625,,51.476,51.475968
hf_gpu_fp16,hf,1,models/gpt2-75m,hf,74.824704,kv_decode,1,1357.5672000006305,1357.5672000006307,377.1452345046065,377.1452345046065,641.03662109375,,74.825,74.824704
hf_gpu_fp16,hf,1,models/gpt2-100m,hf,96.08832,kv_decode,1,2116.935399999419,2116.93539999942,241.8590572013394,241.8590572013394,493.1259765625,,96.088,96.08832
hf_gpu_fp16,hf,1,models/tiny-gpt2,hf,0.102714,prefill,1,2.482900001268717,2.482900001268717,6846.832329660203,6846.832329660203,482.9345703125,,0.103,0.102714
hf_gpu_fp16,hf,1,models/gpt2-5m,hf,5.03672,prefill,1,6.983799999943585,6.983799999943585,2434.2048741569533,2434.2048741569533,34.4453125,,5.037,5.03672
hf_gpu_fp16,hf,1,models/gpt2-25m,hf,25.016064,prefill,1,2.2676999997202074,2.2676999997202074,7496.582441283013,7496.582441283013,287.38818359375,,25.016,25.016064
hf_gpu_fp16,hf,1,models/gpt2-45m,hf,45.1712,prefill,1,3.8342000007105526,3.834200000710553,4433.780188005207,4433.780188005207,132.49267578125,,45.171,45.1712
hf_gpu_fp16,hf,1,models/gpt2-50m,hf,51.475968,prefill,1,4.836699999941629,4.836699999941629,3514.793144128258,3514.7931441282644,241.66650390625,,51.476,51.475968
hf_gpu_fp16,hf,1,models/gpt2-75m,hf,74.824704,prefill,1,4.055200000948389,4.055200000948389,4192.148351751881,4192.148351751881,641.03662109375,,74.825,74.824704
hf_gpu_fp16,hf,1,models/gpt2-100m,hf,96.08832,prefill,1,5.000799999834271,5.000799999834271,3399.4560871387353,3399.4560871387353,493.1259765625,,96.088,96.08832
