task_idx,scenario,backend,backend_kind,model,model_kind,params_millions,params_millions_config,prompt,prompt_chars,gen_tokens_target,batch_size_config,call_idx,sample_idx,is_warmup,warmup_idx,rep,mode,status,error,started_at_unix,batch_size,seq_len,prompt_tokens_raw,prefill_ms,prefill_cuda_event_ms,kv_decode_ms,kv_decode_ms_equiv,kv_decode_ms_per_token,kv_decode_cuda_event_ms,gen_tokens_raw,gen_tokens_equiv,ollama_wall_ms,ollama_total_duration_ms,ollama_load_ms,ollama_done_reason,params_millions_measured,latency_ms,cuda_event_ms,tokens_total,tokens_per_s,gen_tokens
0,medium,ollama,ollama,gemma3:270m,ollama,268.1,268.1,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,0,0,True,0,,prefill,ok,,1766554142.3858883,1,,25,51.8946,,394.0526,394.0526,6.157071875,,64,64,646.6161999996984,622.4966,139.1815,length,268.1,51.8946,,25,481.7456922300201,0
0,medium,ollama,ollama,gemma3:270m,ollama,268.1,268.1,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,0,1,True,0,,kv_decode,ok,,1766554142.3858883,1,,25,51.8946,,394.0526,394.0526,6.157071875,,64,64,646.6161999996984,622.4966,139.1815,length,268.1,394.0526,,64,162.41486542659536,64
0,medium,ollama,ollama,gemma3:270m,ollama,268.1,268.1,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,0,2,True,0,,e2e_kv,ok,,1766554142.3858883,1,,25,51.8946,,394.0526,394.0526,6.157071875,,64,64,646.6161999996984,622.4966,139.1815,length,268.1,445.94719999999995,,89,199.57519634611455,64
0,medium,ollama,ollama,gemma3:270m,ollama,268.1,268.1,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,1,3,False,,0,prefill,ok,,1766554143.032676,1,,25,2.1624,,120.6179,120.6179,1.8846546875,,64,64,344.59359999891603,308.9586,155.7979,length,268.1,2.1624,,25,11561.228264890862,0
0,medium,ollama,ollama,gemma3:270m,ollama,268.1,268.1,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,1,4,False,,0,kv_decode,ok,,1766554143.032676,1,,25,2.1624,,120.6179,120.6179,1.8846546875,,64,64,344.59359999891603,308.9586,155.7979,length,268.1,120.6179,,64,530.6011794269341,64
0,medium,ollama,ollama,gemma3:270m,ollama,268.1,268.1,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,1,5,False,,0,e2e_kv,ok,,1766554143.032676,1,,25,2.1624,,120.6179,120.6179,1.8846546875,,64,64,344.59359999891603,308.9586,155.7979,length,268.1,122.78030000000001,,89,724.8719867926694,64
0,medium,ollama,ollama,gemma3:270m,ollama,268.1,268.1,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,2,6,False,,1,prefill,ok,,1766554143.3774085,1,,25,1.4809,,120.3632,120.3632,1.880675,,64,64,317.5503000002209,303.3021,152.2907,length,268.1,1.4809,,25,16881.62603822,0
0,medium,ollama,ollama,gemma3:270m,ollama,268.1,268.1,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,2,7,False,,1,kv_decode,ok,,1766554143.3774085,1,,25,1.4809,,120.3632,120.3632,1.880675,,64,64,317.5503000002209,303.3021,152.2907,length,268.1,120.3632,,64,531.7239820809018,64
0,medium,ollama,ollama,gemma3:270m,ollama,268.1,268.1,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,2,8,False,,1,e2e_kv,ok,,1766554143.3774085,1,,25,1.4809,,120.3632,120.3632,1.880675,,64,64,317.5503000002209,303.3021,152.2907,length,268.1,121.84410000000001,,89,730.4416052972609,64
0,medium,ollama,ollama,gemma3:270m,ollama,268.1,268.1,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,3,9,False,,2,prefill,ok,,1766554143.695357,1,,25,1.9094,,115.0552,115.0552,1.7977375,,64,64,336.02079999946,298.9357,148.3586,length,268.1,1.9094,,25,13093.118257044098,0
0,medium,ollama,ollama,gemma3:270m,ollama,268.1,268.1,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,3,10,False,,2,kv_decode,ok,,1766554143.695357,1,,25,1.9094,,115.0552,115.0552,1.7977375,,64,64,336.02079999946,298.9357,148.3586,length,268.1,115.0552,,64,556.2547368567435,64
0,medium,ollama,ollama,gemma3:270m,ollama,268.1,268.1,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,3,11,False,,2,e2e_kv,ok,,1766554143.695357,1,,25,1.9094,,115.0552,115.0552,1.7977375,,64,64,336.02079999946,298.9357,148.3586,length,268.1,116.9646,,89,760.9139859410454,64
0,medium,ollama,ollama,gemma3:270m,ollama,268.1,268.1,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,4,12,False,,3,prefill,ok,,1766554144.0315094,1,,25,2.4628,,120.4924,120.4924,1.88269375,,64,64,345.2906000002258,331.2816,180.1926,length,268.1,2.4628,,25,10151.047588111092,0
0,medium,ollama,ollama,gemma3:270m,ollama,268.1,268.1,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,4,13,False,,3,kv_decode,ok,,1766554144.0315094,1,,25,2.4628,,120.4924,120.4924,1.88269375,,64,64,345.2906000002258,331.2816,180.1926,length,268.1,120.4924,,64,531.1538321089131,64
0,medium,ollama,ollama,gemma3:270m,ollama,268.1,268.1,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,4,14,False,,3,e2e_kv,ok,,1766554144.0315094,1,,25,2.4628,,120.4924,120.4924,1.88269375,,64,64,345.2906000002258,331.2816,180.1926,length,268.1,122.9552,,89,723.840878628964,64
0,medium,ollama,ollama,gemma3:270m,ollama,268.1,268.1,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,5,15,False,,4,prefill,ok,,1766554144.3769197,1,,25,2.2272,,120.8796,120.8796,1.88874375,,64,64,338.22259999942617,299.1948,145.0837,length,268.1,2.2272,,25,11224.856321839081,0
0,medium,ollama,ollama,gemma3:270m,ollama,268.1,268.1,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,5,16,False,,4,kv_decode,ok,,1766554144.3769197,1,,25,2.2272,,120.8796,120.8796,1.88874375,,64,64,338.22259999942617,299.1948,145.0837,length,268.1,120.8796,,64,529.4524468975742,64
0,medium,ollama,ollama,gemma3:270m,ollama,268.1,268.1,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,5,17,False,,4,e2e_kv,ok,,1766554144.3769197,1,,25,2.2272,,120.8796,120.8796,1.88874375,,64,64,338.22259999942617,299.1948,145.0837,length,268.1,123.10679999999999,,89,722.9495040079022,64
1,short,ollama,ollama,gemma3:1b-it-qat,ollama,999.9,999.9,Summarize RLHF in one sentence.,31,64,1,6,18,True,0,,prefill,ok,,1766554144.7153866,1,,18,11.1309,,138.6893,261.06221176470586,4.079097058823529,,34,64,363.9911000009306,327.9561,152.9829,stop,999.89,11.1309,,18,1617.119909441285,0
