task_idx,scenario,backend,backend_kind,model,model_kind,params_millions,params_millions_config,prompt,prompt_chars,gen_tokens_target,batch_size_config,call_idx,sample_idx,is_warmup,warmup_idx,rep,mode,status,error,started_at_unix,batch_size,seq_len,prompt_tokens_raw,gen_tokens_raw,prefill_ms,prefill_cuda_event_ms,kv_decode_ms,kv_decode_cuda_event_ms,gpu_peak_mb,hf_load_ms,params_millions_measured,latency_ms,cuda_event_ms,tokens_total,tokens_per_s,gen_tokens,kv_decode_ms_equiv,kv_decode_ms_per_token,gen_tokens_equiv,ollama_wall_ms,ollama_total_duration_ms,ollama_load_ms,ollama_done_reason
0,medium,hf_cpu_fp32,hf,models/gpt2-45m,hf,45.171,45.171,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,0,0,True,0,,prefill,ok,,1766554417.8493376,1,17,17,64,90.92819999932544,,650.5293999998685,,,5547.731600001498,45.1712,90.92819999932544,,17,186.96070086206606,0,,,,,,,
0,medium,hf_cpu_fp32,hf,models/gpt2-45m,hf,45.171,45.171,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,0,1,True,0,,kv_decode,ok,,1766554417.8493376,1,17,17,64,90.92819999932544,,650.5293999998685,,,5547.731600001498,45.1712,650.5293999998685,,64,98.38141058653605,64,,,,,,,
0,medium,hf_cpu_fp32,hf,models/gpt2-45m,hf,45.171,45.171,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,0,2,True,0,,e2e_kv,ok,,1766554417.8493376,1,17,17,64,90.92819999932544,,650.5293999998685,,,5547.731600001498,45.1712,741.4575999991939,,81,109.24427775787592,64,,,,,,,
0,medium,hf_cpu_fp32,hf,models/gpt2-45m,hf,45.171,45.171,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,1,3,False,,0,prefill,ok,,1766554424.1417475,1,17,17,64,15.710200001194607,,643.4824999996636,,,,45.1712,15.710200001194607,,17,1082.0995276130996,0,,,,,,,
0,medium,hf_cpu_fp32,hf,models/gpt2-45m,hf,45.171,45.171,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,1,4,False,,0,kv_decode,ok,,1766554424.1417475,1,17,17,64,15.710200001194607,,643.4824999996636,,,,45.1712,643.4824999996636,,64,99.45880424103757,64,,,,,,,
0,medium,hf_cpu_fp32,hf,models/gpt2-45m,hf,45.171,45.171,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,1,5,False,,0,e2e_kv,ok,,1766554424.1417475,1,17,17,64,15.710200001194607,,643.4824999996636,,,,45.1712,659.1927000008582,,81,122.87757434191026,64,,,,,,,
0,medium,hf_cpu_fp32,hf,models/gpt2-45m,hf,45.171,45.171,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,2,6,False,,1,prefill,ok,,1766554424.8013945,1,17,17,64,17.668800001047202,,633.8605000000825,,,,45.1712,17.668800001047202,,17,962.1479669809175,0,,,,,,,
0,medium,hf_cpu_fp32,hf,models/gpt2-45m,hf,45.171,45.171,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,2,7,False,,1,kv_decode,ok,,1766554424.8013945,1,17,17,64,17.668800001047202,,633.8605000000825,,,,45.1712,633.8605000000825,,64,100.96858851433662,64,,,,,,,
0,medium,hf_cpu_fp32,hf,models/gpt2-45m,hf,45.171,45.171,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,2,8,False,,1,e2e_kv,ok,,1766554424.8013945,1,17,17,64,17.668800001047202,,633.8605000000825,,,,45.1712,651.5293000011297,,81,124.32288156474245,64,,,,,,,
0,medium,hf_cpu_fp32,hf,models/gpt2-45m,hf,45.171,45.171,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,3,9,False,,2,prefill,ok,,1766554425.4535332,1,17,17,64,16.093300000648014,,645.6779000000097,,,,45.1712,16.093300000648014,,17,1056.340216072246,0,,,,,,,
