timestamp,model,prompt_index,prompt_text,ttft_s,tokens_s,load_s,prompt_eval_s,eval_s,prompt_eval_count,eval_count,response_chars,error,options
2025-10-02T19:18:24.204845+00:00,llama3.1:8b-instruct-q4_0,1,banter prompt: Player failed a mission but needs encouragement.,2.857169,76.91,2.720556,0.136613,4.862955,22,374,1542,,"{""temperature"":0.3,""top_p"":0.9}"
2025-10-02T19:18:24.204845+00:00,llama3.1:8b-instruct-q4_0,2,Give a battle quote for a co-op shooter win.,0.140514,78.12,0.089984,0.050530,0.128009,21,10,38,,"{""temperature"":0.3,""top_p"":0.9}"
2025-10-02T19:18:24.204845+00:00,llama3.1:8b-instruct-q4_0,3,Prompt for rare loot find celebration banter.,0.084245,77.73,0.076516,0.007729,3.525228,19,274,984,,"{""temperature"":0.3,""top_p"":0.9}"
2025-10-02T19:18:24.204845+00:00,llama3.1:8b-instruct-q4_0,4,Craft a witty remark after a close racing finish.,0.098372,78.10,0.091919,0.006453,2.048542,20,160,602,,"{""temperature"":0.3,""top_p"":0.9}"
2025-10-02T19:18:24.204845+00:00,llama3.1:8b-instruct-q4_0,5,Motivate a teammate before a final boss fight.,0.076385,77.23,0.068957,0.007428,4.272856,20,330,1450,,"{""temperature"":0.3,""top_p"":0.9}"
2025-10-02T19:18:24.204845+00:00,llama3.1:8b-instruct-q5_K_M,1,banter prompt: Player failed a mission but needs encouragement.,7.391540,64.79,7.101650,0.289890,5.865237,22,380,1507,,"{""temperature"":0.3,""top_p"":0.9}"
2025-10-02T19:18:24.204845+00:00,llama3.1:8b-instruct-q5_K_M,2,Give a battle quote for a co-op shooter win.,0.109608,65.09,0.093368,0.016240,0.153624,21,10,39,,"{""temperature"":0.3,""top_p"":0.9}"
2025-10-02T19:18:24.204845+00:00,llama3.1:8b-instruct-q5_K_M,3,Prompt for rare loot find celebration banter.,0.083071,65.25,0.076529,0.006541,4.428875,19,289,810,,"{""temperature"":0.3,""top_p"":0.9}"
2025-10-02T19:18:24.204845+00:00,llama3.1:8b-instruct-q5_K_M,4,Craft a witty remark after a close racing finish.,0.085730,65.30,0.078167,0.007563,4.272314,20,279,1099,,"{""temperature"":0.3,""top_p"":0.9}"
2025-10-02T19:18:24.204845+00:00,llama3.1:8b-instruct-q5_K_M,5,Motivate a teammate before a final boss fight.,0.084467,65.10,0.077711,0.006756,4.915199,20,320,1311,,"{""temperature"":0.3,""top_p"":0.9}"
2025-10-02T19:18:24.204845+00:00,llama3.1:8b-instruct-q8_0,1,banter prompt: Player failed a mission but needs encouragement.,9.615508,45.32,9.061842,0.553666,8.253065,22,374,1469,,"{""temperature"":0.3,""top_p"":0.9}"
2025-10-02T19:18:24.204845+00:00,llama3.1:8b-instruct-q8_0,2,Give a battle quote for a co-op shooter win.,0.149183,46.82,0.094658,0.054526,0.234951,21,11,41,,"{""temperature"":0.3,""top_p"":0.9}"
2025-10-02T19:18:24.204845+00:00,llama3.1:8b-instruct-q8_0,3,Prompt for rare loot find celebration banter.,0.083267,46.52,0.075184,0.008083,7.222809,19,336,1014,,"{""temperature"":0.3,""top_p"":0.9}"
2025-10-02T19:18:24.204845+00:00,llama3.1:8b-instruct-q8_0,4,Craft a witty remark after a close racing finish.,0.092815,46.81,0.085793,0.007022,3.183115,20,149,586,,"{""temperature"":0.3,""top_p"":0.9}"
2025-10-02T19:18:24.204845+00:00,llama3.1:8b-instruct-q8_0,5,Motivate a teammate before a final boss fight.,0.091576,46.52,0.084404,0.007172,6.104722,20,284,1225,,"{""temperature"":0.3,""top_p"":0.9}"
