backend,model,scenario,mode,warmup_n,warmup_median_ms,measured_n,measured_median_ms,warmup_to_measured_ratio,warmup_minus_measured_ms
hf_gpu_fp16_bs1,models/gpt2-100m,medium,e2e_kv,1,511.9640999982949,5,497.1244000007573,1.029851079523586,14.839699997537593
hf_gpu_fp16_bs1,models/gpt2-25m,medium,e2e_kv,1,212.03420000165352,5,219.21949999887147,0.9672232625416309,-7.185299997217953
hf_gpu_fp16_bs1,models/gpt2-45m,medium,e2e_kv,1,397.92489999854297,5,390.11890000074345,1.0200092843432724,7.805999997799518
hf_gpu_fp16_bs1,models/gpt2-50m,medium,e2e_kv,1,1107.7033999990815,5,330.20270000088203,3.354616421961791,777.5006999981995
hf_gpu_fp16_bs1,models/gpt2-5m,medium,e2e_kv,1,732.9506999994919,5,747.040599999309,0.9811390438487143,-14.089899999817135
hf_gpu_fp16_bs1,models/gpt2-75m,medium,e2e_kv,1,319.48259999990114,5,338.75170000101207,0.9431173334301987,-19.269100001110928
hf_gpu_fp16_bs1,models/tiny-gpt2,medium,e2e_kv,1,496.3292000011279,5,195.52979999934905,2.538381361832213,300.79940000177885
hf_gpu_fp16_bs1,models/gpt2-100m,medium,kv_decode,1,487.8720999986399,5,485.50580000119226,1.004873886156338,2.3662999974476406
hf_gpu_fp16_bs1,models/gpt2-25m,medium,kv_decode,1,203.66810000086844,5,214.74659999876167,0.9484112903396044,-11.078499997893232
hf_gpu_fp16_bs1,models/gpt2-45m,medium,kv_decode,1,390.9519999997429,5,383.2032999998773,1.0202208592667863,7.748699999865607
hf_gpu_fp16_bs1,models/gpt2-50m,medium,kv_decode,1,463.4375999994518,5,325.287899999239,1.4246997813338151,138.14970000021276
hf_gpu_fp16_bs1,models/gpt2-5m,medium,kv_decode,1,716.6146999988996,5,734.460499999841,0.9757021650572832,-17.84580000094138
hf_gpu_fp16_bs1,models/gpt2-75m,medium,kv_decode,1,311.5932000000612,5,332.840799999758,0.9361628742638755,-21.24759999969683
hf_gpu_fp16_bs1,models/tiny-gpt2,medium,kv_decode,1,214.36530000028145,5,191.57910000103584,1.1189388612803923,22.78619999924561
hf_gpu_fp16_bs1,models/gpt2-100m,medium,prefill,1,24.091999999654945,5,5.165000000488362,4.664472409947143,18.926999999166583
hf_gpu_fp16_bs1,models/gpt2-25m,medium,prefill,1,8.366100000785082,5,3.860400000121445,2.1671588437783367,4.505700000663637
hf_gpu_fp16_bs1,models/gpt2-45m,medium,prefill,1,6.972899998800131,5,6.871199999295641,1.0148009080677196,0.10169999950448982
hf_gpu_fp16_bs1,models/gpt2-50m,medium,prefill,1,644.26579999963,5,4.6091999993223,139.77822617685447,639.6566000003077
hf_gpu_fp16_bs1,models/gpt2-5m,medium,prefill,1,16.33600000059232,5,12.39050000003772,1.3184294419549323,3.945500000554601
hf_gpu_fp16_bs1,models/gpt2-75m,medium,prefill,1,7.889399999839952,5,5.995700001221849,1.31584302053675,1.8936999986181036
hf_gpu_fp16_bs1,models/tiny-gpt2,medium,prefill,1,281.9639000008465,5,3.9319999996223487,71.71004578533262,278.03190000122413
hf_gpu_fp16_bs8,models/gpt2-100m,medium,e2e_kv,1,527.6082000000315,5,514.5864999994956,1.0253051722121522,13.02170000053593
hf_gpu_fp16_bs8,models/gpt2-25m,medium,e2e_kv,1,224.77160000016735,5,219.72449999884705,1.0229701285079578,5.0471000013203025
hf_gpu_fp16_bs8,models/gpt2-45m,medium,e2e_kv,1,595.5153999984759,5,425.8154999988619,1.3985291751945796,169.699899999614
hf_gpu_fp16_bs8,models/gpt2-50m,medium,e2e_kv,1,571.2428999995609,5,525.6723999991664,1.086689923230641,45.57050000039453
hf_gpu_fp16_bs8,models/gpt2-5m,medium,e2e_kv,1,760.0104000011925,5,738.7967999984539,1.0287137139776228,21.21360000273853
hf_gpu_fp16_bs8,models/gpt2-75m,medium,e2e_kv,1,338.2474999998521,5,331.5259999999398,1.0202744279480749,6.721499999912282
hf_gpu_fp16_bs8,models/tiny-gpt2,medium,e2e_kv,1,203.90819999920492,5,195.40859999870008,1.043496550308233,8.499600000504842
hf_gpu_fp16_bs8,models/gpt2-100m,medium,kv_decode,1,514.4896999991033,5,504.5358000006672,1.0197288279611139,9.9538999984361
hf_gpu_fp16_bs8,models/gpt2-25m,medium,kv_decode,1,218.00450000046112,5,214.42859999842767,1.0166764135104165,3.5759000020334497
hf_gpu_fp16_bs8,models/gpt2-45m,medium,kv_decode,1,577.566799998749,5,414.4472999996651,1.3935832131110897,163.11949999908393
hf_gpu_fp16_bs8,models/gpt2-50m,medium,kv_decode,1,555.8845999985351,5,515.0475999998889,1.0792878172787428,40.836999998646206
hf_gpu_fp16_bs8,models/gpt2-5m,medium,kv_decode,1,740.2086000001873,5,725.8516999991116,1.0197793846884884,14.3569000010757
hf_gpu_fp16_bs8,models/gpt2-75m,medium,kv_decode,1,329.19690000017,5,323.89359999979206,1.0163735868827952,5.303300000377931
hf_gpu_fp16_bs8,models/tiny-gpt2,medium,kv_decode,1,197.80999999966295,5,191.2358999998105,1.034376913539032,6.57409999985245
hf_gpu_fp16_bs8,models/gpt2-100m,medium,prefill,1,13.11850000092818,5,10.558300000411691,1.2424822178207344,2.560200000516488
hf_gpu_fp16_bs8,models/gpt2-25m,medium,prefill,1,6.767099999706261,5,5.295900000419351,1.277799807241529,1.4711999992869096
hf_gpu_fp16_bs8,models/gpt2-45m,medium,prefill,1,17.948599999726866,5,9.412800000063726,1.906828998768204,8.53579999966314
hf_gpu_fp16_bs8,models/gpt2-50m,medium,prefill,1,15.358300001025782,5,9.417799999937415,1.6307736415222074,5.940500001088367
hf_gpu_fp16_bs8,models/gpt2-5m,medium,prefill,1,19.801800001005176,5,12.933899999552525,1.5309999305461046,6.867900001452652
hf_gpu_fp16_bs8,models/gpt2-75m,medium,prefill,1,9.050599999682165,5,7.76150000092457,1.1660890290026455,1.289099998757595
hf_gpu_fp16_bs8,models/tiny-gpt2,medium,prefill,1,6.098199999541976,5,4.129200000534183,1.476847815255514,1.9689999990077922
