task_idx,scenario,backend,backend_kind,model,model_kind,params_millions,params_millions_config,prompt,prompt_chars,gen_tokens_target,batch_size_config,call_idx,sample_idx,is_warmup,warmup_idx,rep,mode,status,error,started_at_unix,batch_size,seq_len,prompt_tokens_raw,gen_tokens_raw,prefill_ms,prefill_cuda_event_ms,kv_decode_ms,kv_decode_cuda_event_ms,gpu_peak_mb,hf_load_ms,params_millions_measured,latency_ms,cuda_event_ms,tokens_total,tokens_per_s,gen_tokens
0,medium,hf_gpu_fp16_bs1,hf,models/gpt2-50m,hf,51.476,51.476,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,0,0,True,0,,prefill,ok,,1766554069.7853622,1,17,17,64,644.26579999963,643.523193359375,463.4375999994518,463.39154052734375,119.23681640625,9566.628600001422,51.475968,644.26579999963,643.523193359375,17,26.386624899241532,0
0,medium,hf_gpu_fp16_bs1,hf,models/gpt2-50m,hf,51.476,51.476,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,0,1,True,0,,kv_decode,ok,,1766554069.7853622,1,17,17,64,644.26579999963,643.523193359375,463.4375999994518,463.39154052734375,119.23681640625,9566.628600001422,51.475968,463.4375999994518,463.39154052734375,64,138.09841929113156,64
0,medium,hf_gpu_fp16_bs1,hf,models/gpt2-50m,hf,51.476,51.476,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,0,2,True,0,,e2e_kv,ok,,1766554069.7853622,1,17,17,64,644.26579999963,643.523193359375,463.4375999994518,463.39154052734375,119.23681640625,9566.628600001422,51.475968,1107.7033999990817,1106.9147338867188,81,73.12426774176838,64
0,medium,hf_gpu_fp16_bs1,hf,models/gpt2-50m,hf,51.476,51.476,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,1,3,False,,0,prefill,ok,,1766554080.6864357,1,17,17,64,4.286700001102872,4.250847816467285,379.40809999963676,379.3836975097656,119.23681640625,,51.475968,4.286700001102872,4.250847816467285,17,3965.7545421014484,0
0,medium,hf_gpu_fp16_bs1,hf,models/gpt2-50m,hf,51.476,51.476,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,1,4,False,,0,kv_decode,ok,,1766554080.6864357,1,17,17,64,4.286700001102872,4.250847816467285,379.40809999963676,379.3836975097656,119.23681640625,,51.475968,379.40809999963676,379.3836975097656,64,168.68379984523597,64
0,medium,hf_gpu_fp16_bs1,hf,models/gpt2-50m,hf,51.476,51.476,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,1,5,False,,0,e2e_kv,ok,,1766554080.6864357,1,17,17,64,4.286700001102872,4.250847816467285,379.40809999963676,379.3836975097656,119.23681640625,,51.475968,383.69480000073963,383.6345453262329,81,211.10528472067867,64
0,medium,hf_gpu_fp16_bs1,hf,models/gpt2-50m,hf,51.476,51.476,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,2,6,False,,1,prefill,ok,,1766554081.0708494,1,17,17,64,4.120199999306351,4.086495876312256,412.99959999923885,412.9566650390625,119.23681640625,,51.475968,4.120199999306351,4.086495876312256,17,4126.013301019854,0
0,medium,hf_gpu_fp16_bs1,hf,models/gpt2-50m,hf,51.476,51.476,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,2,7,False,,1,kv_decode,ok,,1766554081.0708494,1,17,17,64,4.120199999306351,4.086495876312256,412.99959999923885,412.9566650390625,119.23681640625,,51.475968,412.99959999923885,412.9566650390625,64,154.96383047372916,64
0,medium,hf_gpu_fp16_bs1,hf,models/gpt2-50m,hf,51.476,51.476,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,2,8,False,,1,e2e_kv,ok,,1766554081.0708494,1,17,17,64,4.120199999306351,4.086495876312256,412.99959999923885,412.9566650390625,119.23681640625,,51.475968,417.1197999985452,417.04316091537476,81,194.18881577974122,64
0,medium,hf_gpu_fp16_bs1,hf,models/gpt2-50m,hf,51.476,51.476,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,3,9,False,,2,prefill,ok,,1766554081.4887388,1,17,17,64,4.6091999993223,4.572512149810791,319.74040000022796,319.7081604003906,119.23681640625,,51.475968,4.6091999993223,4.572512149810791,17,3688.275623210003,0
0,medium,hf_gpu_fp16_bs1,hf,models/gpt2-50m,hf,51.476,51.476,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,3,10,False,,2,kv_decode,ok,,1766554081.4887388,1,17,17,64,4.6091999993223,4.572512149810791,319.74040000022796,319.7081604003906,119.23681640625,,51.475968,319.74040000022796,319.7081604003906,64,200.16238173203752,64
0,medium,hf_gpu_fp16_bs1,hf,models/gpt2-50m,hf,51.476,51.476,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,3,11,False,,2,e2e_kv,ok,,1766554081.4887388,1,17,17,64,4.6091999993223,4.572512149810791,319.74040000022796,319.7081604003906,119.23681640625,,51.475968,324.34959999955026,324.2806725502014,81,249.73053766711078,64
0,medium,hf_gpu_fp16_bs1,hf,models/gpt2-50m,hf,51.476,51.476,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,4,12,False,,3,prefill,ok,,1766554081.8138587,1,17,17,64,5.50689999909082,5.454495906829834,277.31560000029276,277.285888671875,119.23681640625,,51.475968,5.50689999909082,5.454495906829834,17,3087.0362641062434,0
0,medium,hf_gpu_fp16_bs1,hf,models/gpt2-50m,hf,51.476,51.476,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,4,13,False,,3,kv_decode,ok,,1766554081.8138587,1,17,17,64,5.50689999909082,5.454495906829834,277.31560000029276,277.285888671875,119.23681640625,,51.475968,277.31560000029276,277.285888671875,64,230.7839876297346,64
0,medium,hf_gpu_fp16_bs1,hf,models/gpt2-50m,hf,51.476,51.476,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,4,14,False,,3,e2e_kv,ok,,1766554081.8138587,1,17,17,64,5.50689999909082,5.454495906829834,277.31560000029276,277.285888671875,119.23681640625,,51.475968,282.8224999993836,282.74038457870483,81,286.39871297430915,64
0,medium,hf_gpu_fp16_bs1,hf,models/gpt2-50m,hf,51.476,51.476,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,5,15,False,,4,prefill,ok,,1766554082.0976515,1,17,17,64,4.914800001643016,4.8712639808654785,325.287899999239,325.2214050292969,119.23681640625,,51.475968,4.914800001643016,4.8712639808654785,17,3458.940342296107,0
0,medium,hf_gpu_fp16_bs1,hf,models/gpt2-50m,hf,51.476,51.476,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,5,16,False,,4,kv_decode,ok,,1766554082.0976515,1,17,17,64,4.914800001643016,4.8712639808654785,325.287899999239,325.2214050292969,119.23681640625,,51.475968,325.287899999239,325.2214050292969,64,196.74878776662067,64
0,medium,hf_gpu_fp16_bs1,hf,models/gpt2-50m,hf,51.476,51.476,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,5,17,False,,4,e2e_kv,ok,,1766554082.0976515,1,17,17,64,4.914800001643016,4.8712639808654785,325.287899999239,325.2214050292969,119.23681640625,,51.475968,330.20270000088203,330.09266901016235,81,245.30386941046706,64
1,medium,hf_gpu_fp16_bs1,hf,models/gpt2-100m,hf,96.088,96.088,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,6,18,True,0,,prefill,ok,,1766554082.4288328,1,17,17,64,24.091999999654945,24.014623641967773,487.8720999986399,487.8202819824219,315.7841796875,439.9403000006714,96.08832,24.091999999654945,24.014623641967773,17,705.6284243833422,0
1,medium,hf_gpu_fp16_bs1,hf,models/gpt2-100m,hf,96.088,96.088,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,6,19,True,0,,kv_decode,ok,,1766554082.4288328,1,17,17,64,24.091999999654945,24.014623641967773,487.8720999986399,487.8202819824219,315.7841796875,439.9403000006714,96.08832,487.8720999986399,487.8202819824219,64,131.181922475539,64
1,medium,hf_gpu_fp16_bs1,hf,models/gpt2-100m,hf,96.088,96.088,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,6,20,True,0,,e2e_kv,ok,,1766554082.4288328,1,17,17,64,24.091999999654945,24.014623641967773,487.8720999986399,487.8202819824219,315.7841796875,439.9403000006714,96.08832,511.96409999829484,511.83490562438965,81,158.2142185365532,64
