task_idx,scenario,backend,backend_kind,model,model_kind,params_millions,params_millions_config,prompt,prompt_chars,gen_tokens_target,call_idx,sample_idx,is_warmup,warmup_idx,rep,mode,status,error,started_at_unix,prompt_tokens,prefill_ms,prefill_cuda_event_ms,kv_decode_ms,kv_decode_ms_equiv,kv_decode_ms_per_token,kv_decode_cuda_event_ms,gen_tokens,gen_tokens_equiv,ollama_wall_ms,ollama_total_duration_ms,ollama_load_ms,ollama_done_reason,params_millions_measured,latency_ms,cuda_event_ms,tokens_total,tokens_per_s,gpu_peak_mb,hf_load_ms
0,medium,ollama,ollama,qwen2.5:7b,ollama,7600.0,7600.0,Explain how backpressure works in an inference service and when to enable queueing.,83,64,0,0,True,0,,prefill,ok,,1766546923.3893511,46,23.1247,,721.1346,721.1346,11.267728125,,0,64,7006.792900000164,6983.866,6172.2444,length,7600.0,23.1247,,46,1989.2149952215595,,
0,medium,ollama,ollama,qwen2.5:7b,ollama,7600.0,7600.0,Explain how backpressure works in an inference service and when to enable queueing.,83,64,0,1,True,0,,kv_decode,ok,,1766546923.3893511,46,23.1247,,721.1346,721.1346,11.267728125,,64,64,7006.792900000164,6983.866,6172.2444,length,7600.0,721.1346,,64,88.74903520091812,,
0,medium,ollama,ollama,qwen2.5:7b,ollama,7600.0,7600.0,Explain how backpressure works in an inference service and when to enable queueing.,83,64,0,2,True,0,,e2e_kv,ok,,1766546923.3893511,46,23.1247,,721.1346,721.1346,11.267728125,,64,64,7006.792900000164,6983.866,6172.2444,length,7600.0,744.2592999999999,,110,147.7979516010079,,
0,medium,ollama,ollama,qwen2.5:7b,ollama,7600.0,7600.0,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,3,False,,0,prefill,ok,,1766546930.396277,46,11.5027,,730.9596,730.9596,11.42124375,,0,64,940.1238999998895,927.3721,126.2847,length,7600.0,11.5027,,46,3999.061090004955,,
0,medium,ollama,ollama,qwen2.5:7b,ollama,7600.0,7600.0,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,4,False,,0,kv_decode,ok,,1766546930.396277,46,11.5027,,730.9596,730.9596,11.42124375,,64,64,940.1238999998895,927.3721,126.2847,length,7600.0,730.9596,,64,87.55613853351129,,
0,medium,ollama,ollama,qwen2.5:7b,ollama,7600.0,7600.0,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,5,False,,0,e2e_kv,ok,,1766546930.396277,46,11.5027,,730.9596,730.9596,11.42124375,,64,64,940.1238999998895,927.3721,126.2847,length,7600.0,742.4623,,110,148.15567066502905,,
0,medium,ollama,ollama,qwen2.5:7b,ollama,7600.0,7600.0,Explain how backpressure works in an inference service and when to enable queueing.,83,64,2,6,False,,1,prefill,ok,,1766546931.3365345,46,11.5592,,715.209,715.209,11.175140625,,0,64,928.0542000001333,914.7449,124.4469,length,7600.0,11.5592,,46,3979.514153228597,,
0,medium,ollama,ollama,qwen2.5:7b,ollama,7600.0,7600.0,Explain how backpressure works in an inference service and when to enable queueing.,83,64,2,7,False,,1,kv_decode,ok,,1766546931.3365345,46,11.5592,,715.209,715.209,11.175140625,,64,64,928.0542000001333,914.7449,124.4469,length,7600.0,715.209,,64,89.48433255174362,,
0,medium,ollama,ollama,qwen2.5:7b,ollama,7600.0,7600.0,Explain how backpressure works in an inference service and when to enable queueing.,83,64,2,8,False,,1,e2e_kv,ok,,1766546931.3365345,46,11.5592,,715.209,715.209,11.175140625,,64,64,928.0542000001333,914.7449,124.4469,length,7600.0,726.7682,,110,151.35499874650543,,
0,medium,ollama,ollama,qwen2.5:7b,ollama,7600.0,7600.0,Explain how backpressure works in an inference service and when to enable queueing.,83,64,3,9,False,,2,prefill,ok,,1766546932.2650025,46,11.7929,,717.318,717.318,11.20809375,,0,64,940.4561000001195,925.072,133.4086,length,7600.0,11.7929,,46,3900.6520872728506,,
