task_idx,scenario,backend,backend_kind,model,model_kind,params_millions,params_millions_config,prompt,prompt_chars,gen_tokens_target,batch_size_config,call_idx,sample_idx,is_warmup,warmup_idx,rep,mode,status,error,started_at_unix,batch_size,seq_len,prompt_tokens_raw,gen_tokens_raw,prefill_ms,prefill_cuda_event_ms,kv_decode_ms,kv_decode_cuda_event_ms,gpu_peak_mb,hf_load_ms,params_millions_measured,latency_ms,cuda_event_ms,tokens_total,tokens_per_s,gen_tokens
0,medium,hf_gpu_fp16,hf,models/gpt2-5m,hf,5.037,5.037,Explain how backpressure works in an inference service and when to enable queueing.,83,512,1,0,0,True,0,,prefill,ok,,1766555045.529683,1,17,17,512,175.4088000016054,175.30307006835938,3284.776200000124,3284.7724609375,34.4453125,5756.5254000001005,5.03672,175.4088000016054,175.30307006835938,17,96.9164602907289,0
0,medium,hf_gpu_fp16,hf,models/gpt2-5m,hf,5.037,5.037,Explain how backpressure works in an inference service and when to enable queueing.,83,512,1,0,1,True,0,,kv_decode,ok,,1766555045.529683,1,17,17,512,175.4088000016054,175.30307006835938,3284.776200000124,3284.7724609375,34.4453125,5756.5254000001005,5.03672,3284.776200000124,3284.7724609375,512,155.87058868728428,512
0,medium,hf_gpu_fp16,hf,models/gpt2-5m,hf,5.037,5.037,Explain how backpressure works in an inference service and when to enable queueing.,83,512,1,0,2,True,0,,e2e_kv,ok,,1766555045.529683,1,17,17,512,175.4088000016054,175.30307006835938,3284.776200000124,3284.7724609375,34.4453125,5756.5254000001005,5.03672,3460.1850000017293,3460.0755310058594,529,152.8819990837876,512
0,medium,hf_gpu_fp16,hf,models/gpt2-5m,hf,5.037,5.037,Explain how backpressure works in an inference service and when to enable queueing.,83,512,1,1,3,False,,0,prefill,ok,,1766555054.7856994,1,17,17,512,7.023199999821372,6.946400165557861,3215.315899999041,3215.326171875,34.4453125,,5.03672,7.023199999821372,6.946400165557861,17,2420.549037537359,0
0,medium,hf_gpu_fp16,hf,models/gpt2-5m,hf,5.037,5.037,Explain how backpressure works in an inference service and when to enable queueing.,83,512,1,1,4,False,,0,kv_decode,ok,,1766555054.7856994,1,17,17,512,7.023199999821372,6.946400165557861,3215.315899999041,3215.326171875,34.4453125,,5.03672,3215.315899999041,3215.326171875,512,159.23785280325106,512
0,medium,hf_gpu_fp16,hf,models/gpt2-5m,hf,5.037,5.037,Explain how backpressure works in an inference service and when to enable queueing.,83,512,1,1,5,False,,0,e2e_kv,ok,,1766555054.7856994,1,17,17,512,7.023199999821372,6.946400165557861,3215.315899999041,3215.326171875,34.4453125,,5.03672,3222.3390999988624,3222.272572040558,529,164.16645907942674,512
0,medium,hf_gpu_fp16,hf,models/gpt2-5m,hf,5.037,5.037,Explain how backpressure works in an inference service and when to enable queueing.,83,512,1,2,6,False,,1,prefill,ok,,1766555058.0088425,1,17,17,512,6.983799999943585,6.926400184631348,3082.447399998273,3082.459228515625,34.4453125,,5.03672,6.983799999943585,6.926400184631348,17,2434.2048741569524,0
0,medium,hf_gpu_fp16,hf,models/gpt2-5m,hf,5.037,5.037,Explain how backpressure works in an inference service and when to enable queueing.,83,512,1,2,7,False,,1,kv_decode,ok,,1766555058.0088425,1,17,17,512,6.983799999943585,6.926400184631348,3082.447399998273,3082.459228515625,34.4453125,,5.03672,3082.447399998273,3082.459228515625,512,166.1017800337118,512
0,medium,hf_gpu_fp16,hf,models/gpt2-5m,hf,5.037,5.037,Explain how backpressure works in an inference service and when to enable queueing.,83,512,1,2,8,False,,1,e2e_kv,ok,,1766555058.0088425,1,17,17,512,6.983799999943585,6.926400184631348,3082.447399998273,3082.459228515625,34.4453125,,5.03672,3089.4311999982165,3089.3856287002563,529,171.22893042586784,512
0,medium,hf_gpu_fp16,hf,models/gpt2-5m,hf,5.037,5.037,Explain how backpressure works in an inference service and when to enable queueing.,83,512,1,3,9,False,,2,prefill,ok,,1766555061.0991266,1,17,17,512,6.946999999854597,6.883552074432373,2999.3419000002177,2999.343017578125,34.4453125,,5.03672,6.946999999854597,6.883552074432373,17,2447.0994674472167,0
0,medium,hf_gpu_fp16,hf,models/gpt2-5m,hf,5.037,5.037,Explain how backpressure works in an inference service and when to enable queueing.,83,512,1,3,10,False,,2,kv_decode,ok,,1766555061.0991266,1,17,17,512,6.946999999854597,6.883552074432373,2999.3419000002177,2999.343017578125,34.4453125,,5.03672,2999.3419000002177,2999.343017578125,512,170.70411345901007,512
0,medium,hf_gpu_fp16,hf,models/gpt2-5m,hf,5.037,5.037,Explain how backpressure works in an inference service and when to enable queueing.,83,512,1,3,11,False,,2,e2e_kv,ok,,1766555061.0991266,1,17,17,512,6.946999999854597,6.883552074432373,2999.3419000002177,2999.343017578125,34.4453125,,5.03672,3006.2889000000723,3006.2265696525574,529,175.96445903784806,512
1,medium,hf_gpu_fp16,hf,models/gpt2-45m,hf,45.171,45.171,Explain how backpressure works in an inference service and when to enable queueing.,83,512,1,4,12,True,0,,prefill,ok,,1766555064.1063027,1,17,17,512,15.08540000031644,15.0065279006958,1638.3683999993082,1638.3118896484375,132.49267578125,213.7096999995265,45.1712,15.08540000031644,15.0065279006958,17,1126.9174168164848,0
1,medium,hf_gpu_fp16,hf,models/gpt2-45m,hf,45.171,45.171,Explain how backpressure works in an inference service and when to enable queueing.,83,512,1,4,13,True,0,,kv_decode,ok,,1766555064.1063027,1,17,17,512,15.08540000031644,15.0065279006958,1638.3683999993082,1638.3118896484375,132.49267578125,213.7096999995265,45.1712,1638.3683999993082,1638.3118896484375,512,312.5060273380616,512
1,medium,hf_gpu_fp16,hf,models/gpt2-45m,hf,45.171,45.171,Explain how backpressure works in an inference service and when to enable queueing.,83,512,1,4,14,True,0,,e2e_kv,ok,,1766555064.1063027,1,17,17,512,15.08540000031644,15.0065279006958,1638.3683999993082,1638.3118896484375,132.49267578125,213.7096999995265,45.1712,1653.4537999996246,1653.3184175491333,529,319.9363659269585,512
1,medium,hf_gpu_fp16,hf,models/gpt2-45m,hf,45.171,45.171,Explain how backpressure works in an inference service and when to enable queueing.,83,512,1,5,15,False,,0,prefill,ok,,1766555065.9744046,1,17,17,512,3.8342000007105526,3.7940480709075928,1629.3423000006442,1629.3427734375,132.49267578125,,45.1712,3.8342000007105526,3.7940480709075928,17,4433.7801880052075,0
1,medium,hf_gpu_fp16,hf,models/gpt2-45m,hf,45.171,45.171,Explain how backpressure works in an inference service and when to enable queueing.,83,512,1,5,16,False,,0,kv_decode,ok,,1766555065.9744046,1,17,17,512,3.8342000007105526,3.7940480709075928,1629.3423000006442,1629.3427734375,132.49267578125,,45.1712,1629.3423000006442,1629.3427734375,512,314.2372232033733,512
1,medium,hf_gpu_fp16,hf,models/gpt2-45m,hf,45.171,45.171,Explain how backpressure works in an inference service and when to enable queueing.,83,512,1,5,17,False,,0,e2e_kv,ok,,1766555065.9744046,1,17,17,512,3.8342000007105526,3.7940480709075928,1629.3423000006442,1629.3427734375,132.49267578125,,45.1712,1633.1765000013547,1633.1368215084076,529,323.90865286119487,512
1,medium,hf_gpu_fp16,hf,models/gpt2-45m,hf,45.171,45.171,Explain how backpressure works in an inference service and when to enable queueing.,83,512,1,6,18,False,,1,prefill,ok,,1766555067.6083124,1,17,17,512,3.871400000207359,3.8082239627838135,1591.642100000172,1591.6380615234375,132.49267578125,,45.1712,3.871400000207359,3.8082239627838135,17,4391.176318409219,0
1,medium,hf_gpu_fp16,hf,models/gpt2-45m,hf,45.171,45.171,Explain how backpressure works in an inference service and when to enable queueing.,83,512,1,6,19,False,,1,kv_decode,ok,,1766555067.6083124,1,17,17,512,3.871400000207359,3.8082239627838135,1591.642100000172,1591.6380615234375,132.49267578125,,45.1712,1591.642100000172,1591.6380615234375,512,321.68035766328666,512
1,medium,hf_gpu_fp16,hf,models/gpt2-45m,hf,45.171,45.171,Explain how backpressure works in an inference service and when to enable queueing.,83,512,1,6,20,False,,1,e2e_kv,ok,,1766555067.6083124,1,17,17,512,3.871400000207359,3.8082239627838135,1591.642100000172,1591.6380615234375,132.49267578125,,45.1712,1595.5135000003793,1595.4462854862213,529,331.55470010117386,512
1,medium,hf_gpu_fp16,hf,models/gpt2-45m,hf,45.171,45.171,Explain how backpressure works in an inference service and when to enable queueing.,83,512,1,7,21,False,,2,prefill,ok,,1766555069.2045188,1,17,17,512,3.4993000008398667,3.458143949508667,1606.764000000112,1606.7584228515625,132.49267578125,,45.1712,3.4993000008398667,3.458143949508667,17,4858.114478872869,0
1,medium,hf_gpu_fp16,hf,models/gpt2-45m,hf,45.171,45.171,Explain how backpressure works in an inference service and when to enable queueing.,83,512,1,7,22,False,,2,kv_decode,ok,,1766555069.2045188,1,17,17,512,3.4993000008398667,3.458143949508667,1606.764000000112,1606.7584228515625,132.49267578125,,45.1712,1606.764000000112,1606.7584228515625,512,318.65289488684357,512
1,medium,hf_gpu_fp16,hf,models/gpt2-45m,hf,45.171,45.171,Explain how backpressure works in an inference service and when to enable queueing.,83,512,1,7,23,False,,2,e2e_kv,ok,,1766555069.2045188,1,17,17,512,3.4993000008398667,3.458143949508667,1606.764000000112,1606.7584228515625,132.49267578125,,45.1712,1610.2633000009519,1610.2165668010712,529,328.51770266371176,512
2,medium,hf_gpu_fp16,hf,models/gpt2-50m,hf,51.476,51.476,Explain how backpressure works in an inference service and when to enable queueing.,83,512,1,8,24,True,0,,prefill,ok,,1766555070.8154128,1,17,17,512,5.497899999681977,5.437983989715576,2127.5815999997576,2127.582275390625,241.66650390625,205.31860000119195,51.475968,5.497899999681977,5.437983989715576,17,3092.089707157889,0
2,medium,hf_gpu_fp16,hf,models/gpt2-50m,hf,51.476,51.476,Explain how backpressure works in an inference service and when to enable queueing.,83,512,1,8,25,True,0,,kv_decode,ok,,1766555070.8154128,1,17,17,512,5.497899999681977,5.437983989715576,2127.5815999997576,2127.582275390625,241.66650390625,205.31860000119195,51.475968,2127.5815999997576,2127.582275390625,512,240.64881929795706,512
